"lhs","rhs","support","confidence","lift"
"{root vegetables,other vegetables,rolls/buns,margarine}","{whole milk}",0.0011,0.8462,3.3115
"{root vegetables,butter,yogurt,whipped/sour cream}","{whole milk}",0.0011,0.8462,3.3115
"{root vegetables,rolls/buns,waffles}","{whole milk}",0.0016,0.8421,3.2957
"{citrus fruit,frozen vegetables,fruit/vegetable juice}","{whole milk}",0.0016,0.8421,3.2957
"{butter,whipped/sour cream,domestic eggs}","{whole milk}",0.0016,0.8421,3.2957
"{butter,jam}","{whole milk}",0.001,0.8333,3.2614
"{butter,rice}","{whole milk}",0.0015,0.8333,3.2614
"{tropical fruit,other vegetables,rice}","{whole milk}",0.001,0.8333,3.2614
"{herbs,other vegetables,domestic eggs}","{whole milk}",0.001,0.8333,3.2614
"{herbs,other vegetables,fruit/vegetable juice}","{whole milk}",0.001,0.8333,3.2614
"{tropical fruit,herbs,yogurt}","{whole milk}",0.001,0.8333,3.2614
"{root vegetables,herbs,rolls/buns}","{whole milk}",0.0015,0.8333,3.2614
"{other vegetables,whipped/sour cream,detergent}","{whole milk}",0.001,0.8333,3.2614
"{root vegetables,soft cheese,domestic eggs}","{whole milk}",0.001,0.8333,3.2614
"{frankfurter,yogurt,sliced cheese}","{whole milk}",0.001,0.8333,3.2614
"{root vegetables,oil,shopping bags}","{whole milk}",0.001,0.8333,3.2614
"{onions,butter,bottled water}","{whole milk}",0.001,0.8333,3.2614
"{berries,butter,whipped/sour cream}","{whole milk}",0.001,0.8333,3.2614
"{hamburger meat,root vegetables,whipped/sour cream}","{whole milk}",0.001,0.8333,3.2614
"{rolls/buns,margarine,hygiene articles}","{whole milk}",0.001,0.8333,3.2614
"{citrus fruit,butter,hygiene articles}","{whole milk}",0.001,0.8333,3.2614
"{tropical fruit,whipped/sour cream,hygiene articles}","{whole milk}",0.001,0.8333,3.2614
"{other vegetables,salty snack,long life bakery product}","{whole milk}",0.001,0.8333,3.2614
"{butter,whipped/sour cream,sugar}","{whole milk}",0.001,0.8333,3.2614
"{sausage,whipped/sour cream,long life bakery product}","{whole milk}",0.001,0.8333,3.2614
"{pork,yogurt,cream cheese }","{whole milk}",0.001,0.8333,3.2614
"{frankfurter,yogurt,cream cheese }","{whole milk}",0.001,0.8333,3.2614
"{sausage,domestic eggs,chocolate}","{whole milk}",0.001,0.8333,3.2614
"{yogurt,coffee,bottled beer}","{whole milk}",0.001,0.8333,3.2614
"{beef,butter,curd}","{whole milk}",0.001,0.8333,3.2614
"{root vegetables,domestic eggs,brown bread}","{whole milk}",0.0015,0.8333,3.2614
"{whipped/sour cream,margarine,bottled water}","{whole milk}",0.001,0.8333,3.2614
"{tropical fruit,root vegetables,yogurt,sliced cheese}","{whole milk}",0.001,0.8333,3.2614
"{pip fruit,root vegetables,yogurt,white bread}","{whole milk}",0.001,0.8333,3.2614
"{root vegetables,other vegetables,frozen vegetables,bottled water}","{whole milk}",0.001,0.8333,3.2614
"{pip fruit,other vegetables,curd,whipped/sour cream}","{whole milk}",0.001,0.8333,3.2614
"{frankfurter,pip fruit,root vegetables,other vegetables}","{whole milk}",0.001,0.8333,3.2614
"{tropical fruit,root vegetables,yogurt,domestic eggs}","{whole milk}",0.0015,0.8333,3.2614
"{root vegetables,other vegetables,yogurt,fruit/vegetable juice}","{whole milk}",0.002,0.8333,3.2614
"{citrus fruit,root vegetables,other vegetables,yogurt,whipped/sour cream}","{whole milk}",0.001,0.8333,3.2614
"{tropical fruit,yogurt,hard cheese}","{whole milk}",0.0014,0.8235,3.223
"{root vegetables,butter,hygiene articles}","{whole milk}",0.0014,0.8235,3.223
"{other vegetables,curd,domestic eggs}","{whole milk}",0.0028,0.8235,3.223
"{butter,whipped/sour cream,napkins}","{whole milk}",0.0014,0.8235,3.223
"{pork,butter,yogurt}","{whole milk}",0.0014,0.8235,3.223
"{sausage,pip fruit,domestic eggs}","{whole milk}",0.0014,0.8235,3.223
"{beef,tropical fruit,root vegetables,rolls/buns}","{whole milk}",0.0014,0.8235,3.223
"{frankfurter,tropical fruit,other vegetables,yogurt}","{whole milk}",0.0014,0.8235,3.223
"{citrus fruit,tropical fruit,root vegetables,other vegetables,yogurt}","{whole milk}",0.0014,0.8235,3.223
"{tropical fruit,herbs}","{whole milk}",0.0023,0.8214,3.2148
"{citrus fruit,root vegetables,other vegetables,yogurt}","{whole milk}",0.0023,0.8214,3.2148
"{root vegetables,other vegetables,rice}","{whole milk}",0.0018,0.8182,3.2021
"{pip fruit,curd,whipped/sour cream}","{whole milk}",0.0018,0.8182,3.2021
"{tropical fruit,root vegetables,yogurt,rolls/buns}","{whole milk}",0.0022,0.8148,3.1889
"{napkins,house keeping products}","{whole milk}",0.0013,0.8125,3.1798
"{other vegetables,yogurt,specialty cheese}","{whole milk}",0.0013,0.8125,3.1798
"{citrus fruit,root vegetables,herbs}","{whole milk}",0.0013,0.8125,3.1798
"{butter,yogurt,hard cheese}","{whole milk}",0.0013,0.8125,3.1798
"{dessert,butter milk,yogurt}","{whole milk}",0.0013,0.8125,3.1798
"{onions,butter,yogurt}","{whole milk}",0.0013,0.8125,3.1798
"{sausage,pip fruit,hygiene articles}","{whole milk}",0.0013,0.8125,3.1798
"{other vegetables,sugar,bottled water}","{whole milk}",0.0013,0.8125,3.1798
"{yogurt,cream cheese ,domestic eggs}","{whole milk}",0.0013,0.8125,3.1798
"{root vegetables,whipped/sour cream,white bread}","{whole milk}",0.0013,0.8125,3.1798
"{other vegetables,frozen vegetables,napkins}","{whole milk}",0.0013,0.8125,3.1798
"{beef,tropical fruit,whipped/sour cream}","{whole milk}",0.0013,0.8125,3.1798
"{curd,rolls/buns,margarine}","{whole milk}",0.0013,0.8125,3.1798
"{tropical fruit,domestic eggs,napkins}","{whole milk}",0.0013,0.8125,3.1798
"{pip fruit,butter,bottled water}","{whole milk}",0.0013,0.8125,3.1798
"{tropical fruit,domestic eggs,pastry}","{whole milk}",0.0013,0.8125,3.1798
"{root vegetables,other vegetables,whipped/sour cream,frozen vegetables}","{whole milk}",0.0013,0.8125,3.1798
"{pip fruit,root vegetables,other vegetables,soda}","{whole milk}",0.0013,0.8125,3.1798
"{yogurt,cereals}","{whole milk}",0.0017,0.8095,3.1682
"{hamburger meat,bottled beer}","{whole milk}",0.0017,0.8095,3.1682
"{whipped/sour cream,rolls/buns,waffles}","{whole milk}",0.0017,0.8095,3.1682
"{yogurt,whipped/sour cream,long life bakery product}","{whole milk}",0.0017,0.8095,3.1682
"{pip fruit,root vegetables,butter}","{whole milk}",0.0017,0.8095,3.1682
"{hamburger meat,curd}","{whole milk}",0.0025,0.8065,3.1562
"{herbs,rolls/buns}","{whole milk}",0.0024,0.8,3.1309
"{butter,yogurt,soft cheese}","{whole milk}",0.0012,0.8,3.1309
"{frankfurter,other vegetables,frozen meals}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,yogurt,frozen meals}","{whole milk}",0.0016,0.8,3.1309
"{hamburger meat,butter,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,hygiene articles,napkins}","{whole milk}",0.0012,0.8,3.1309
"{chicken,butter,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{root vegetables,chocolate,napkins}","{whole milk}",0.0012,0.8,3.1309
"{pip fruit,butter,curd}","{whole milk}",0.0012,0.8,3.1309
"{rolls/buns,bottled beer,napkins}","{whole milk}",0.0012,0.8,3.1309
"{whipped/sour cream,domestic eggs,margarine}","{whole milk}",0.0012,0.8,3.1309
"{citrus fruit,tropical fruit,butter}","{whole milk}",0.0016,0.8,3.1309
"{sausage,pip fruit,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{chicken,root vegetables,other vegetables,domestic eggs}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,butter,curd,yogurt}","{whole milk}",0.0012,0.8,3.1309
"{tropical fruit,butter,yogurt,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{other vegetables,butter,whipped/sour cream,rolls/buns}","{whole milk}",0.0012,0.8,3.1309
"{sausage,citrus fruit,other vegetables,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
"{citrus fruit,tropical fruit,yogurt,whipped/sour cream}","{whole milk}",0.0012,0.8,3.1309
